SY070500,SY0705,Ariha
SY070501,SY0705,Ehsem
SY070502,SY0705,Mhambal
SY070400,SY0704,Jisr-Ash-Shugur
SY070401,SY0704,Badama
SY070402,SY0704,Darkosh
SY070403,SY0704,Janudiyeh
SY070300,SY0703,Harim
SY070301,SY0703,Dana
SY070302,SY0703,Salqin
SY070303,SY0703,Kafr Takharim
SY070304,SY0703,Qourqeena
SY070305,SY0703,Armanaz
SY070001,SY0700,Abul Thohur
SY070002,SY0700,Bennsh
SY070003,SY0700,Saraqab
SY070004,SY0700,Teftnaz
SY070005,SY0700,Maaret Tamsrin
SY070006,SY0700,Sarmin
SY070000,SY0700,Idleb
SY070200,SY0702,Ma'arrat An Nu'man
SY070201,SY0702,Khan Shaykun
SY070202,SY0702,Sanjar
SY070203,SY0702,Kafr Nobol
SY070204,SY0702,Tamanaah
SY070205,SY0702,Heish
SY080200,SY0802,Quamishli
SY080201,SY0802,Tal Hmis
SY080202,SY0802,Amuda
SY080203,SY0802,Qahtaniyyeh
SY080300,SY0803,Al Malika
SY080301,SY0803,Jawadiyah
SY080302,SY0803,Ya'robiyah
SY080400,SY0804,Ras Al Ain
SY080401,SY0804,Darbasiyah
SY060301,SY0603,Salanfa
SY060304,SY0603,Mzair'a
SY060006,SY0600,Hanadi
SY060004,SY0600,Qastal Maaf
SY060000,SY0600,Lattakia
SY020401,SY0204,Aghtrin
SY080000,SY0800,Al-Hasakeh
SY080001,SY0800,Tal Tamer
SY080002,SY0800,Shadadah
SY080003,SY0800,Markada
SY080004,SY0800,Be'r Al-Hulo Al-Wardeyyeh
SY080005,SY0800,Areesheh
SY080006,SY0800,Hole
SY110300,SY1103,Al-Thawrah
SY110301,SY1103,Mansura
SY110302,SY1103,Jurneyyeh
SY110200,SY1102,Tell Abiad
SY110201,SY1102,Suluk
SY110202,SY1102,Ein Issa
SY110100,SY1101,Ar-Raqqa
SY110101,SY1101,Sabka
SY110102,SY1101,Karama
SY110103,SY1101,Maadan
SY130303,SY1303,Little Sura
SY060303,SY0603,Kansaba
SY060302,SY0603,Ein Et-teeneh
SY060300,SY0603,Al Hafa
SY060402,SY0604,Fakhura
SY060403,SY0604,Jobet Berghal
SY060400,SY0604,Al Qardaha
SY060401,SY0604,Harf Elmseitra
SY060200,SY0602,Jablah
SY060202,SY0602,Qteilbiyyeh
SY060203,SY0602,Ein Shaqaq
SY060204,SY0602,Dalyeh
SY060201,SY0602,Ein Elshaqiyeh
SY060205,SY0602,Beit Yashout
SY060002,SY0600,Rabee'a
SY060001,SY0600,Bahlawaniyeh
SY060003,SY0600,Ein El-Bayda
SY060005,SY0600,Kiseb
SY020405,SY0204,Suran
SY020400,SY0204,A'zaz
SY020403,SY0204,Mare'
SY020402,SY0204,Tall Refaat
SY020404,SY0204,Nabul
SY020203,SY0202,Ar-Ra'ee
SY020005,SY0200,Zarbah
SY020004,SY0200,Daret Azza
SY020206,SY0202,A'rima
SY020200,SY0202,Al Bab
SY020201,SY0202,Tadaf
SY020205,SY0202,Rasm Haram El-Imam
SY020202,SY0202,Dayr Hafir
SY020204,SY0202,Eastern Kwaires
SY020700,SY0207,As Safira
